photo_url	image_number
https://pbs.twimg.com/media/EUXLU7ZWkAE2lqd.jpg	saude202003_n_00041_00000005.jpg
https://pbs.twimg.com/media/EUXK_DsXsAALzAa.jpg	saude202003_n_00042_00000001.jpg
https://pbs.twimg.com/media/EUXK_Y9XkAIxBHX.jpg	saude202003_n_00042_00000002.jpg
https://pbs.twimg.com/media/EUXK_36XsAEQvZP.jpg	saude202003_n_00042_00000003.jpg
https://pbs.twimg.com/media/EUXJjkxXQAEJfQm.jpg	saude202003_n_00042_00000004.jpg
https://pbs.twimg.com/media/EUXJf58XQAgkFyL.jpg	saude202003_n_00042_00000005.jpg
https://pbs.twimg.com/media/EUXJei7XkAEIrw9.jpg	saude202003_n_00042_00000006.jpg
https://pbs.twimg.com/media/EUXK2U3XQAMYZNj.jpg	saude202003_n_00042_00000007.jpg
https://pbs.twimg.com/media/EUXK2toWAAA36_A.jpg	saude202003_n_00042_00000008.jpg
https://pbs.twimg.com/media/EUXK5FQWAAE9gW8.jpg	saude202003_n_00042_00000009.jpg
https://pbs.twimg.com/media/EUXKhEFWoAIRbba.jpg	saude202003_n_00042_00000010.jpg
https://pbs.twimg.com/media/EUXKhhcWsAYRwYu.jpg	saude202003_n_00042_00000011.jpg
https://pbs.twimg.com/media/EUXJfiXX0AUjIdF.png	saude202003_n_00042_00000012.png
https://pbs.twimg.com/media/EUXJZxSXsAAd7BT.jpg	saude202003_n_00042_00000013.jpg
https://pbs.twimg.com/media/EUXIkkxWoAEKpFC.jpg	saude202003_n_00042_00000014.jpg
https://pbs.twimg.com/media/EUXIk9oXsAI3Lyh.jpg	saude202003_n_00042_00000015.jpg
https://pbs.twimg.com/media/EUXIli2XgAIwgb_.jpg	saude202003_n_00042_00000016.jpg
https://pbs.twimg.com/media/EUW-gMVXgAEKW-V.jpg	saude202003_n_00046_00000001.jpg
https://pbs.twimg.com/media/EUW95IhXYAAUShN.jpg	saude202003_n_00046_00000002.jpg
https://pbs.twimg.com/media/EUW8B2JWAAcTew7.jpg	saude202003_n_00047_00000001.jpg
https://pbs.twimg.com/media/EUW4P4rXQAEQnm0.jpg	saude202003_n_00048_00000001.jpg
https://pbs.twimg.com/media/EUW1dk8XkAM3m4M.png	saude202003_n_00049_00000001.png
https://pbs.twimg.com/media/EUW0xKtX0AAFsq_.jpg	saude202003_n_00050_00000001.jpg
https://pbs.twimg.com/media/EUW0rgPWkAA8E32.jpg	saude202003_n_00050_00000002.jpg
https://pbs.twimg.com/media/EUW0hsLXsAU1RMI.jpg	saude202003_n_00050_00000003.jpg
https://pbs.twimg.com/media/EUW0WncX0AEDtoi.png	saude202003_n_00050_00000004.png
https://pbs.twimg.com/media/EUWz5iOXQAgTXS6.jpg	saude202003_n_00050_00000005.jpg
https://pbs.twimg.com/media/EUWw_4gXQAAoWL-.jpg	saude202003_n_00051_00000001.jpg
https://pbs.twimg.com/media/EUWw8IxX0AApyIp.jpg	saude202003_n_00051_00000002.jpg
https://pbs.twimg.com/media/EUWw3puX0AITbY5.jpg	saude202003_n_00051_00000003.jpg
https://pbs.twimg.com/media/EUWwY6SWoAMnPCd.jpg	saude202003_n_00051_00000004.jpg
https://pbs.twimg.com/media/EUWuhiIXYAcoQx4.jpg	saude202003_n_00052_00000001.jpg
https://pbs.twimg.com/media/EUSZZGvX0AElP1W.jpg	saude202003_n_00054_00000001.jpg
